range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"d605242fb18d0deee45829c03ad9ad46400d37b7-691b6eb2f9c1d625cb763858f78bf9b924aa3356","2013-06 -- 2013-09",54,19,15,20,0.3519,0.2778,0.3704,6,0.1111,0,0,1,17,16,10,7,0,9,0,13,0.6389,0.9143,0,0,0,0,0,0,0.3889,0.6852,0.5897,0.7143,0.0335,0.1453,0.3739,0.1039,0.1882,0.2242,0.1167,8,2,8,0.4444,0.1111,0.4444,0.12962962962962962,0.16666666666666666,0.0,0.24074074074074073,0.4666666666666667,0.6,0.0,0.8666666666666667
"691b6eb2f9c1d625cb763858f78bf9b924aa3356-7db029a1f8902873b5c6a76c2d72941290807c6a","2013-09 -- 2013-12",37,7,14,16,0.1892,0.3784,0.4324,5,0.1351,0,0,1,13,11,9,14,0,8,0,21,0.3438,0.8135,0.5934,0.4308,0.4667,0.5185,0.5263,0.2963,0.5676,0.6486,0.5217,0.7,0.0435,0.159,0.3889,0.0108,0.1841,0.0097,0.1111,4,2,7,0.3077,0.1538,0.5385,0.3783783783783784,0.21621621621621623,0.0,0.5675675675675675,1.0,0.5714285714285714,0.0,1.5
"7db029a1f8902873b5c6a76c2d72941290807c6a-ce9d1558baf1cf09a2a1075883340078e764abcf","2013-12 -- 2014-03",56,18,22,16,0.3214,0.3929,0.2857,12,0.2143,3,0.0789,1,18,13,10,21,0,9,0,24,0.2258,0.7615,0.2151,0.2059,0.0645,0.0833,0.4211,0.3,0.4821,0.6786,0.6176,0.7368,0.0304,0.3595,0.5175,0.1187,0.3397,0.0259,0.0643,9,6,4,0.4737,0.3158,0.2105,0.375,0.16071428571428573,0.0,0.42857142857142855,0.9545454545454546,0.4090909090909091,0.0,1.0909090909090908
"ce9d1558baf1cf09a2a1075883340078e764abcf-9cc91fba00c3005fe6b26921f2972bb46224f1d5","2014-03 -- 2014-05",60,24,17,19,0.4,0.2833,0.3167,4,0.0667,2,0.0556,1,23,20,8,23,0,14,1,29,0.2927,0.8076,0.4138,0.5135,0.0976,0.1818,0.4444,0.4167,0.4833,0.6167,0.5349,0.7778,0.0437,0.3932,0.4475,0.2414,0.2288,0.2163,0.078,16,4,4,0.6667,0.1667,0.1667,0.38333333333333336,0.23333333333333334,0.016666666666666666,0.48333333333333334,1.3529411764705883,0.8235294117647058,0.058823529411764705,1.7058823529411764
"9cc91fba00c3005fe6b26921f2972bb46224f1d5-ec3380b86bbc0bf1483aa1b1f1b1a8faf7e247be","2014-05 -- 2014-08",58,22,13,23,0.3793,0.2241,0.3966,4,0.069,1,0.0278,1,22,20,11,21,0,11,0,32,0.3725,0.8197,0.3898,0.3889,0.3556,0.4,0.1053,0.3913,0.4828,0.6207,0.5556,0.6944,0.0456,0.1836,0.3624,0.3903,0.4767,0.4663,0.0938,14,5,6,0.56,0.2,0.24,0.3620689655172414,0.1896551724137931,0.0,0.5517241379310345,1.6153846153846154,0.8461538461538461,0.0,2.4615384615384617
"ec3380b86bbc0bf1483aa1b1f1b1a8faf7e247be-b7094055f49f02cd85e1c17088f1231ea55b3ae1","2014-08 -- 2014-11",54,24,14,16,0.4444,0.2593,0.2963,6,0.1111,0,0,1,19,17,8,20,0,0,0,27,0.3077,0.7778,0.4821,0.4848,0.4878,0.4865,0.6316,0.4074,0.2778,0.6481,0.575,0.7333,0.0355,0.3079,0.471,0.3382,0.522,0.3084,0.0762,12,3,5,0.6,0.15,0.25,0.37037037037037035,0.0,0.0,0.5,1.4285714285714286,0.0,0.0,1.9285714285714286
"b7094055f49f02cd85e1c17088f1231ea55b3ae1-96ac2f8a26e628e0f8f407a90d3124c131445427","2014-11 -- 2015-02",55,21,13,21,0.3818,0.2364,0.3818,2,0.0364,0,0,1,21,16,13,31,0,20,0,37,0.4219,0.795,0.422,0.3125,0.3,0.303,0.1905,0.1304,0.6182,0.6182,0.619,0.6176,0.0536,0.2515,0.4865,0.1925,0.2781,0.1598,0.1246,9,6,7,0.4091,0.2727,0.3182,0.5636363636363636,0.36363636363636365,0.0,0.6727272727272727,2.3846153846153846,1.5384615384615385,0.0,2.8461538461538463
"96ac2f8a26e628e0f8f407a90d3124c131445427-3b81d7b19df6f91e086147c9636ac83b96c35175","2015-02 -- 2015-05",64,29,16,19,0.4531,0.25,0.2969,3,0.0469,0,0,1,22,19,9,13,2,20,1,19,0.3667,0.86,0.4034,0.2899,0.3256,0.2857,0.5455,0.625,0.5625,0.6562,0.6042,0.7429,0.039,0.3938,0.5317,0.0878,0.3784,0.0189,0.0714,13,3,6,0.5909,0.1364,0.2727,0.203125,0.3125,0.015625,0.296875,0.8125,1.25,0.0625,1.1875
"3b81d7b19df6f91e086147c9636ac83b96c35175-a6442a92f6a30fb435956430353b247ab679e8d8","2015-05 -- 2015-08",56,22,19,15,0.3929,0.3393,0.2679,3,0.0536,0,0,1,20,17,8,29,2,4,0,36,0.1818,0.7614,0.45,0.2319,0.5238,0.5556,0.5882,0.4815,0.3214,0.6429,0.5405,0.7647,0.0273,0.1997,0.3974,0.0585,0.3545,0.0618,0.0753,13,4,4,0.619,0.1905,0.1905,0.5178571428571429,0.07142857142857142,0.0,0.6428571428571429,1.5263157894736843,0.21052631578947367,0.0,1.894736842105263
"a6442a92f6a30fb435956430353b247ab679e8d8-e7ad09923c9557155c05cee2c300c55c14088be5","2015-08 -- 2015-11",42,16,11,15,0.381,0.2619,0.3571,3,0.0714,1,0.0385,1,16,13,9,19,0,3,0,22,0.4054,0.7516,0.551,0.5667,0.5,0.6667,0.4706,0.1481,0.4286,0.619,0.5806,0.6538,0.0587,0.241,0.4599,0.1187,0.1028,0.1161,0.1498,8,4,5,0.4706,0.2353,0.2941,0.4523809523809524,0.07142857142857142,0.0,0.5238095238095238,1.7272727272727273,0.2727272727272727,0.0,2.0
